Name Of Project,Address,City,State,Primary Funding Source/ Assistance Type Description,Primary Expiration Date,Total Units,Restricted/ Assisted Units,Target Group (Senior),Type of Conversion Risk
Jan Clayton Center (V.o.a),4965 Sunset Blvd.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),12/20/21,42,42,No,Restriction Expiration
Prentice Apartments (Prentice Hotel),1010 E. 7Th St.,Los Angeles,CA,California Low-Income Housing Tax Credit Program (LIHTC),12/31/21,45,45,No,Restriction Expiration
Kilgore Manor Apartments,2411 S. Central Ave.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),12/31/21,51,51,Yes,Rental Subsidy Termination
Macarthur Park Towers,450 Grand View St,Los Angeles,CA,California Low-Income Housing Tax Credit Program (LIHTC),12/31/21,183,183,Yes,Restriction Expiration
Ward Ame Elderly (Ward Villas),1177 W. Adams Blvd,Los Angeles,CA,California Low-Income Housing Tax Credit Program (LIHTC),12/31/21,120,120,Yes,Restriction Expiration
219 E. Ave 31 Apts,219 E. Avenue 31,Los Angeles,CA,City of Los Angeles Land Use Restrictions,1/15/22,5,1,No,Restriction Expiration
Wadsworth Place,911 E. 120Th St.,Los Angeles,CA,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,1/02/22,36,35,Yes,Mortgage Maturity/ Prepayment
Testimonial Love Center,5701 S. Western Avenue,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),9/03/22,30,30,No,Restriction Expiration
Fame (Fame North East Apts),2232 S. Harvard Blvd.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),3/17/22,24,24,No,Restriction Expiration
Main St. Associates,235 Main St.,Los Angeles,CA,City of Los Angeles Land Use Restrictions,6/23/22,89,23,Yes,Restriction Expiration
Morris Rosen Sr. Apartments,245 Main St.,Los Angeles,CA,City of Los Angeles Land Use Restrictions,6/23/22,89,23,Yes,Restriction Expiration
Queen Apts/4,5217 W. Marathon St.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),7/31/22,20,20,No,Rental Subsidy Termination
Queen Apts/3,516 S. Union Ave.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),7/31/22,30,30,No,Rental Subsidy Termination
Queen Apts/2,2620 S. Orchard Ave.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),7/31/22,16,16,No,Rental Subsidy Termination
Queen Apts/1,445 S. Lucas Ave.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),7/31/22,16,16,No,Rental Subsidy Termination
Queen Apts/5,451 S. Lucas Ave.,Los Angeles,CA,HUD Project-Based Section 8 Rental Assistance (PBRA),7/31/22,14,14,No,Rental Subsidy Termination
Art Share Transitional Hsg,801 East 4Th Place,Los Angeles,CA,Los Angeles Housing and Community Investment Department (HCIDLA) - Neighborhood Preservation Program (NPP),8/08/22,30,30,No,Restriction Expiration
Carter House,449 W. 78Th St.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),8/19/22,21,21,Yes,Restriction Expiration
Hsg For The Multi- Hand/Blind,20619 W. Devonshire St,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),6/22/23,12,12,No,Restriction Expiration
Project Headway,8431 Geyser Ave,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),7/27/23,6,6,No,Restriction Expiration
1809 W. 11Th Street,1809 W. 11Th Street,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),8/29/23,63,63,No,Restriction Expiration
Arirang Housing,1725 N. Whitley Ave.,Los Angeles,CA,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),9/27/23,74,74,No,Restriction Expiration
